end_station_name,zipcode
Allen St & Rivington St,10002
DeKalb Ave & Hudson Ave,11221
Washington St & Laight St,10013
W 35 St & 8 Ave,10001
Metropolitan Ave & Meeker Ave,11211
Amsterdam Ave & W 175 St,10033
Sullivan Pl & Franklin Ave,11225
Washington Ave & Park Ave,11205
Garfield Pl & 8 Ave,11215
Evergreen Ave & Noll St,11206
Broadway & W 155 St,10032
Cedar St & Evergreen Ave,11221
Hanson Pl & Ashland Pl,11217
Maiden Ln & Pearl St,10038
Botanical Sq & Webster Ave,10458
Dean St & Hoyt St,11217
E 114 St & 1 Ave,10029
3 Ave & E 163 St,10456
Laight St & Hudson St,10013
E Tremont Ave & E 176 St,10457
38 Ave & 29 St,11101
Water St & Gouverneur Ln,10004
Wyckoff Av & Stanhope St,11237
Lexington Ave & Classon Ave,11221
3 St & Hoyt St,11231
Cypress Ave & George St,11385
Milton St & Franklin St,11222
44 Dr & Jackson Ave,11101
Flatbush Ave & Eastern Pkwy,11225
E 161 St & Park Ave,10451
Bond St & Fulton St,11231
Bank St & Hudson St,10014
E 56 St & Madison Ave,10022
Perry St & Bleecker St,10014
E 116 St & 2 Ave,10035
Sands St & Jay St,11251
Cabrini Blvd & W 177 St,10033
46 St & 28 Ave,11101
Mott St & Prince St,10012
Lenox Ave & W 146 St,10039
5 St & 6 Ave,11215
2 Ave & E 96 St,10035
Murray St & Greenwich St,10007
Park Ave & St Edwards St,11251
Fort Washington Ave & W 183 St,10033
Marcus Garvey Blvd & Macon St,11216
E 25 St & 1 Ave,10010
E 48 St & 3 Ave,10017
Lewis Ave & Madison St,11221
Fulton St & Irving Pl,11207
34 St & 4 Ave,11232
Adam Clayton Powell Blvd & W 118 St,10026
Clinton St & Joralemon St,11231
E 93 St & 2 Ave,10128
Mt Morris Park W & W 120 St,10027
Willis Ave & Bruckner Blvd,10454
E 115 St & Lexington Ave,10029
43 St & Broadway,11101
Prospect Ave & E 151 St,10455
E 106 St & Lexington Ave,10029
Commerce St & Van Brunt St,11231
West Broadway & Watts St,10013
E 4 St & Ave B,10009
Clinton Ave & Myrtle Ave,11205
W 59 St & 10 Ave,10069
Carroll St & Columbia St,11231
8 Ave & W 27 St,10001
3 Ave & Carroll St,11215
St Ann's Ave & Westchester Ave,10455
W 110 St & Amsterdam Ave,10025
Schermerhorn St & Bond St,11217
